keyword,definition,conceptnet,glove,word2vec
ablaze,being on fire radiant with light or emotion,1,1,1
accident,an unforeseen and unplanned event or circumstance Their meeting was an accident,1,1,1
aftershock,an aftereffect of a distressing or traumatic event,1,1,1
airplane_accident,aircraft in which a person is fatally or seriously injured and the aircraft sustains significant damage or structural failure,0,0,0
ambulance,a vehicle equipped for transporting the injured or sick,1,1,1
annihilated,to cause to cease to exist to do away with entirely so that nothing remains,1,1,1
annihilation,the state or fact of being completely destroyed or obliterated,1,1,1
apocalypse,a large disastrous fire or a great disaster,1,1,1
armageddon,a usually vast decisive conflict or confrontation,1,1,1
army,a large organized body of armed personnel trained for war especially on land,1,1,1
arson,the willful or malicious burning of property such as a building especially with criminal or fraudulent intent Arson was determined to be the cause of the fire,1,1,1
arsonist,the willful or malicious burning of property such as a building especially with criminal or fraudulent intent Arson was determined to be the cause of the fire,1,1,1
attack,to set upon or work against forcefully attack an enemy fortification,1,1,1
attacked,to set upon or work against forcefully attack an enemy fortification,1,1,1
avalanche,a large mass of snow ice earth rock or other material in swift motion down a mountainside or over a precipice,1,1,1
battle,a general encounter between armies ships of war or aircraft the battle of Normandy soldiers who fell in battle,1,1,1
bioterror,terrorism involving the intentional release or dissemination of bacteria viruses insects fungi or toxins,1,1,1
bioterrorism,terrorism involving the use of biological weapons,1,1,1
blaze,an intensely burning fire,1,1,1
blazing,burning very brightly and intensely a blazing fire,1,1,1
bleeding,an act instance or result of being bled or the process by which something is bled,1,1,1
blew_up,made explode fill something with air or gas when storm starts argument or problem begin,0,0,0
blight,a disease or injury of plants marked by the formation of lesions withering and death of parts such as leaves and tubers potato blight,1,1,1
blizzard,a long severe snowstorm,1,1,1
blood,the fluid that circulates in the heart arteries capillaries and veins of a vertebrate animal carrying nourishment and oxygen to and bringing away waste products from all parts of the body,1,1,1
bloody,containing or made up of blood,1,1,1
blown_up,made explode fill something with air or gas when storm starts argument or problem begin,1,0,0
body_bag,a large zippered bag as of rubber or vinyl in which a human corpse is placed especially for transportation,1,0,0
body_bagging,a large zippered bag as of rubber or vinyl in which a human corpse is placed especially for transportation,0,0,0
body_bags,a large zippered bag as of rubber or vinyl in which a human corpse is placed especially for transportation,1,0,0
bomb,an explosive device fused to detonate under specified conditions,1,1,1
bombed,affected by alcohol or drugs drunk high,1,1,1
bombing,an explosive device fused to detonate under specified conditions,1,1,1
bridge_collapse,bridge collapse,0,0,0
buildings_burning,buildings burning,0,0,0
buildings_on_fire,buildings are being on fire,0,0,0
burned,to consume fuel and give off heat light and gases a small fire burns on the hearth,1,1,1
burning,being on fire,1,1,1
burning_buildings,buildings are being on fire,0,0,0
bush_fires,an uncontrolled fire in a bush area,0,0,0
casualties,a military person lost through death wounds injury sickness internment or capture or through being missing in action,1,1,1
casualty,a military person lost through death wounds injury sickness internment or capture or through being missing in action,1,1,1
catastrophe,a momentous tragic event ranging from extreme misfortune to utter overthrow or ruin Deforestation and erosion can lead to an ecological catastrophe,1,1,1
catastrophic,a momentous tragic event ranging from extreme misfortune to utter overthrow or ruin Deforestation and erosion can lead to an ecological catastrophe,1,1,1
chemical_emergency,a hazardous chemical has been released and the release has the potential for harming health of people,0,0,0
cliff_fall,cliff fall,0,0,0
collapse,to fall or shrink together abruptly and completely fall into a jumbled or flattened mass through the force of external pressure a blood vessel that collapsed,1,1,1
collapsed,to fall or shrink together abruptly and completely fall into a jumbled or flattened mass through the force of external pressure a blood vessel that collapsed,1,1,1
collide,to come together with solid or direct impact The car collided with a tree Two helicopters collided,1,1,1
collided,to come together with solid or direct impact The car collided with a tree Two helicopters collided,1,1,1
collision,an act or instance of colliding clash,1,1,1
crash,to break violently and noisily smash,1,1,1
