word,frequency,definition
a,53258.0,the 1st letter of the English alphabet
abandon,18.0,to give up to the control or influence of another person or agent
ability,345.0,the quality or state of being able
able,248.0,"having sufficient power, skill, or resources to do something"
about,1095.0,reasonably close to
above,193.0,in the sky overhead the clouds above
abroad,6.0,beyond the boundaries of one's country in or to a foreign country
absence,82.0,"a state or condition in which something expected, wanted, or looked for is not present or does not exist a state or condition in which something is absent an absence [=lack] of detail In the absence of reform [=without reform], progress will be slow."
absent,15.0,not present at a usual or expected place missing was absent from class today sharing memories of absent friends She was conspicuously absent [=her absence was very noticeable] at the meeting.
absolute,58.0,free from imperfection perfect … it is a most absolute and excellent horse.— William Shakespeare
abstract,42.0,disassociated from any specific instance
abuse,28.0,a corrupt practice or custom
abusive,7.0,"using harsh, insulting language"
academic,56.0,"of, relating to, or associated with an academy or school especially of higher learning"
accept,153.0,to receive (something offered) willingly
acceptable,65.0,capable or worthy of being accepted
acceptance,56.0,the quality or state of being accepted or acceptable His theories have gained widespread acceptance.
access,69.0,"permission, liberty, or ability to enter, approach, or pass to and from a place or to approach or communicate with a person or thing"
accident,28.0,an unforeseen and unplanned event or circumstance
accompany,12.0,to go with as an associate or companion
according+to,1.0,in conformity with
account,241.0,a record of debit (see debit entry 2 sense 1a) and credit (see credit entry 1 sense 2d) entries to cover transactions involving a particular item or a particular person or concern
accountant,2.0,one that gives an account or is accountable
accurate,40.0,free from error especially as the result of care
accuse,18.0,to charge with a fault or offense blame He accused her of being disloyal.
ache,4.0,to suffer a usually dull persistent pain
achieve,128.0,to carry out successfully accomplish achieve a gradual increase in production
acquire,45.0,to get as one's own:
acquit,6.0,to discharge completely (as from an accusation or obligation)
across,101.0,"from one side to the opposite side of over, through swam across the river"
act,2100.0,the doing of a thing deed an act of courage
action,1186.0,a thing done deed
active,171.0,characterized by action rather than by contemplation or speculation
activity,576.0,the quality or state of being active behavior or actions of a particular kind
actor,55.0,one that acts doer
actress,4.0,a woman or girl who is an actor
actual,99.0,existing in fact or reality
actually,55.0,in act or in fact really trying to find out what actually happened won't actually arrive for an hour
adapt,27.0,to make fit (as for a new use) often by modification
add,83.0,to join or unite so as to bring about an increase or improvement
